Company,Description,Phone,Address,Website,Total reviews,Rate reviews,Plus code,Image url,Accessibility
La Quadra,Treino de futebol,(41) 99205-7893,"Rua Carolina Castelli, 1000 - Novo Mundo, Curitiba - PR, 81050-450",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(2.241),"4,5","GM6P+2M Novo Mundo, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipNr2IxBitRwji8C1DFLfsQzWrG6Yc9j45bAZ_Hy=w426-h240-k-no,true
BR Sports,Quadra de esportes,(41) 3275-1566,"Rua Senador Accioly Filho, 851 - Cidade Industrial de Curitiba, Curitiba - PR, 81310-000",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(69),"4,3","GM3M+4Q Cidade Industrial de Curitiba, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipPGsBQjWntXdYmFU-yn7UXfcrPYbkTGHDthTMPa=w408-h306-k-no,true
Arena Amigos da Bola,Quadra de esportes,(41) 99272-6241,"BR-116, 15499 - Xaxim, Curitiba - PR, 81690-300",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(474),"4,5","GP4H+Q8 Xaxim, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipPRfRZY5VMOxVZkm15QW8xjEF3NcEna3OVzQEk5=w408-h306-k-no,true
Conexão Esportes CWB,Quadra de esportes,(41) 99867-8848,"R. Estados Unidos, 2851 - Boa Vista, Curitiba - PR, 82540-030",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(719),"4,4","JP4V+V2 Boa Vista, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipNHn3EVtn-7ggNEgrNoLwZt64XJzDkg93olk1uI=w408-h408-k-no,true
Arena Shark,Quadra de esportes,(41) 99161-8686,"Av. Dr. Eugênio Bertolli, 3465 - Santa Felicidade, Curitiba - PR, 82410-530",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(461),"4,4","JMHC+F3 Santa Felicidade, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipO6K22IdxiAwTWcoSoeEzshwat8QA5PHxvd6f3G=w408-h545-k-no,true
Rocha Sports,Quadra de esportes,(41) 98435-6429,"Rod. Régis Bittencourt, 4821 - Bairro Alto, Curitiba - PR, 82590-100",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(96),"4,6","HQPH+CC Bairro Alto, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipOMVE0f36FZd8w7sF21ZiNjVxkgGDh2RM1B4ase=w425-h240-k-no,true
Quadras Esportivas Curitiba - Becker Quadras Poliesportivas,Quadra de esportes,(41) 99782-9788,"R. Eduardo Pinto da Rocha, 1310 - Alto Boqueirão, Curitiba - PR, 81850-000",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(703),"4,6","FQ54+5X Alto Boqueirão, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipMr0516R_gXOj33TeW53T5UODvHuuv9SH8cQz2b=w426-h240-k-no,true
Eco Soccer Locação De Quadras Sintéticas,Quadra de esportes,(41) 99671-8900,"R. Cel. Herculano de Araújo, 22 - Sala 04 - Novo Mundo, Curitiba - PR, 81050-090",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,,,"GP74+54 Novo Mundo, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipONAGo87UgDnU_5WikdKr84xg4Qzy9E8nFwRbJO=w494-h240-k-no,false
Rede Esportes escola de volei e Futsal,Campo de futebol,(41) 99609-3265,"R. Nilo Peçanha, 2575 - Pilarzinho, Curitiba - PR, 82120-440",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(512),"4,6","JP2G+MG Pilarzinho, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipNN8LXfLLxLFSEZL57hX_ITUaZYhYlQ5Y9Dcquj=w408-h272-k-no,true
Quadra Gralha Azul Praça Luiz Fernado Mainardes,Quadra de esportes,,"R. Nicácio Riquelme, 220 - Capão da Imbuia, Curitiba - PR, 82810-420",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(124),"4,5","HQ8Q+PV Capão da Imbuia, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipNv93u67ELp3aTe-x0oGKSLEo8QkJERT92kvIJD=w647-h240-k-no,true
Premium Esportes e Eventos,Quadra de esportes,(41) 98754-8314,"Novo Mundo, Curitiba - PR, 81020-520",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(190),"4,7","GP47+9P Novo Mundo, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipPawZ1-7qYpwmakxIZVqwp5r0MBrH6FgsLhTWdc=w408-h306-k-no,true
Cancha de Futebol Dono da Bola,Quadra de esportes,(41) 3369-3613,"Rua Renato Polatti, 2535 - Campo Comprido, Curitiba - PR, 81230-170",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(648),"4,5","GMQF+C9 Campo Comprido, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipOWRMIB7PKWWOuoNx370jOE7j4PvcdQOeJ4AHEw=w426-h240-k-no,true
Copa 14 Esportes e Lazer,Quadra de esportes,(41) 3088-2014,"BR-277, 3944 - Uberaba, Curitiba - PR, 81550-225",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(1.021),"4,4","GQGQ+PM Uberaba, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipPErUcinJFycGFpiQopIxddV-fWLL4YVwQxdOee=w408-h725-k-no,true
JB esportes & eventos,Quadra de esportes,(41) 99290-2962,"R. Amadeu do Amaral, 1141 - Portão, Curitiba - PR, 82110-050",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(780),"4,5","GMJQ+H5 Portão, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipOwUSsxbZ33rcNBtFEeIKfJs2QFa_ZkJUMH2evW=w408-h306-k-no,true
Vaz Sports,Quadra de esportes,(41) 99786-1122,"R. João Bettega, 3173 - Portão, Curitiba - PR",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(3.085),"4,6","GM6J+Q3 Portão, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipPssw-yyqcNmSWV4GrZAQRBkR3emTmpn1o2RCFa=w408-h271-k-no,true
Quadra de Basquete Arthur Bernardes,Campo de futebol,,"R. João Azolin, 795 - Santa Felicidade, Curitiba - PR, 82015-040",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(157),"4,5","HMQ9+2M Santa Felicidade, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipNUORc7WuvJyAHBPZaCHky1WMdKHP2Bw0MRs1Mq=w408-h306-k-no,true
Maestro Centro Esportivo,Quadra de basquete,(41) 98516-7217,"Av. Presidente Arthur da Silva Bernardes, 669 - Vila Izabel, Curitiba - PR, 80320-300",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(293),"4,6","GMRW+PW Vila Izabel, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipPOXKbuMNgIvYmBw5YOizY4LiWjmhDfrCw8rGtj=w426-h240-k-no,false
Meia Alta Society,Quadra de esportes,(41) 98522-9744,"R. Maestro Carlos Frank, 2480 - Boqueirão, Curitiba - PR, 81750-400",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(315),"4,7","FQG5+XC Boqueirão, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipOqtyyuaTlGSW32ruMA7lqE1WlSesBS6yyOgeN5=w408-h306-k-no,false
Centro de Futebol - Arena dos Campeões,Quadra de esportes,(41) 99600-0681,"Rua Affife Mansur, 698 - Novo Mundo, Curitiba - PR, 81050-180",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(175),"4,7","GM3W+VG Novo Mundo, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipO1n3kBh00ujUIFcoX7ABgMCZOlfpWpKD_2zMT6=w426-h240-k-no,true
Quadra Extra XV,Quadra de esportes,,"R. Antônio Barbosa Ferraz Júnior, 360 - Portão, Curitiba - PR, 81320-270",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(605),"4,6","GMFP+G3 Portão, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipPyNQreU3Wq6pbrlbkBkhQIxkDOq2R3Oro9fqkQ=w408-h408-k-no,true
Centro Esportivo da A.R.P.,Quadra de basquete,(41) 3324-1481,"Av. Mal. Humberto de Alencar Castelo Branco, 521-599 - Jardim Social, Curitiba - PR, 82530-020",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(43),"4,4","HQ96+4F Jardim Social, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipOsH3TeOZOryt_siekmObz9VJ80EBbIiQANoF1D=w408-h408-k-no,true
FTM Beach Sports,Quadra de esportes,(41) 3092-2002,"Rua 24 de Maio, 988 - Rebouças, Curitiba - PR, 80230-080",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(388),"4,6","HP3H+RR Rebouças, Curitiba - PR",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEYfifEhYvlSYRntW-a6ncnpc5DEyIe8zhD8FruqiwmOGs7P3lWO-BxWIBB5YbdhqyFrQ_UL-i9jdTTMYicYqM5DrUH_QRoCmM6msue-SceFEw9FdEOBydcESrg4SDIThrk77_S-cJ1F9ogS81j9I7xWBfz-0YMxQlGOQsTPw9LY2-T6Y7DiltK6zFdZsCxHeaJLw=w408-h306-k-no,true
Pé de Coelho Esportes,Quadra de esportes,(41) 3329-1352,"R. Pedro Gusso, 1026 - Novo Mundo, Curitiba - PR, 81050-200",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(711),"4,4","GM3W+45 Novo Mundo, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipPOih3yud4vat9YD_lPdHBeImMqcp8JDGWM4h-w=w408-h306-k-no,true
Quadra de Basquete - Vila Verde,Quadra de esportes,,"R. Prof. Brasílio Ovídio da Costa, 1800 - Santa Quiteria, Curitiba - PR, 80310-130",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(391),"4,5","GMPR+WH Santa Quiteria, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipOXOie8tHMydgp2vQ4TABWLhWWavpaxvwoXNdcU=w408-h306-k-no,true
